name,season,stage,vote,search,age
Wang Yi-ren,3,2,64.39,0.69237,17
Na Go-eun,3,2,48.81,0.165,18
Lee Si-an,3,2,58.97,0.42929,19
Ko Yu-jin,3,2,46.96,7.69737,17
Son Eun-chae,3,2,36.66,0.18361,18
Erii Chiba,3,2,35.99,0.70953,14
Mako Kojima,3,2,35.38,0.19393,21
Yoon Hae-sol,3,2,34.33,0.09006,20
Bae Eun-yeong,3,2,33.4,0.14336,21
Chiyori Nakanishi,3,2,30.83,0.16382,23
Tomu Muto,3,2,29.93,1.09212,23
Minami Sato,3,2,29.37,0.6497,14
Saho Iwatate,3,2,28.89,0.16008,23
Noe Yamada,3,2,27.1,0.61772,18
Nanami Asai,3,2,27,0.28172,18
Kim So-hee,3,2,26.92,0.3342,14
Kim Min-seo,3,2,25.77,0.09506,15
Vivian Murakawa,3,2,25.54,0.30517,18
Kim Hyun-ah,3,2,25.39,0.08358,23
Kim Su-yun,3,2,25.12,0.03745,17
Lee Ha-eun,3,2,25.97,0.15813,13
Misaki Aramaki,3,2,24.08,0.07271,17
Kim Cho-yeon,3,2,24.01,0.22779,16
Lee Yu-jeong,3,2,20.46,0.07529,14
Aoi Motomura,3,2,20.1,0.09045,21
Park Min-ji,3,2,19.38,0.09286,19
Yu Min-young,3,2,19.13,0.04516,18
Park Seo-young,3,2,17.27,0.44657,19
Wang Ke,3,2,16.77,0.14204,17
Cho Ka-hyeon,3,2,13.77,0.05316,15
Jeon So-mi,1,1,52.88,6.99526,15
Kim Se-jeong,1,1,55.97,5.89883,20
Choi Yoo-jung,1,1,39.28,1.65724,16
Kim Chung-ha,1,1,19.38,0.14694,20
Kim So-hye,1,1,22.77,1.56344,17
Zhou Jieqiong,1,1,38.75,0.68639,17
Jung Chae-yeon,1,1,25.15,0.34423,18
Kim Do-yeon,1,1,20.3,0.10405,16
Kang Mi-na,1,1,37.7,0.18644,16
Im Na-young,1,1,10.78,0.244,20
Yoo Yeon-jung,1,1,21.47,1.35739,17
Han Hye-Ri,1,1,12.51,0.04798,19
Lee Su-Hyun,1,1,6.56,0.05132,20
Kim Na-Young,1,1,25.06,0.42669,20
Kim So-Hee,1,1,10.95,0.13819,21
Yoon Chae-Kyung,1,1,15,0.05457,20
Lee Hae-In,1,1,5.25,0.38885,22
Park So-Yeon,1,1,15.61,0.12119,16
Ki Hui-Hyeon,1,1,29.45,0.31212,21
Jeon So-Yeon,1,1,23.04,0.09645,18
Jung Eun-Woo,1,1,17.59,0.43745,18
Kang Si-Ra,1,1,2.97,0.0098,25
Ng Sze-Kai,1,1,17.61,0.09271,22
Kim Danielle,1,1,27.39,0.31174,16
Park Si-Yeon,1,1,10.6,0.13926,15
Huh Chan-Mi,1,1,18.49,3.48624,24
Hwang In-Sun,1,1,5.97,0.42719,29
"Seong Hye-Min	",1,1,3.36,0.08663,27
Kang Yae-Bin,1,1,8.83,0.13101,18
Kim Seo-Kyung,1,1,7.25,0.01751,17
Lee Soo-Min,1,1,4.39,2.31236,17
An Ye-Seul,1,1,10.63,0.15928,21
Kim Hyeong-Eun,1,1,5.92,0.02621,22
Kim Ju-Na,1,1,16.18,0.98525,22
Kwon Eun-Bin,1,1,17.97,0.06789,16
Kang Si-Won,1,1,5.62,0.02212,20
Yoon Seo-Hyeung,1,1,7.36,0.09797,21
Park Hae-Young,1,1,4.77,0.02442,18
Hwang Soo-Yeon,1,1,3.09,1.09931,24
Kim Si-Hyeon,1,1,6.01,0.02462,17
Cho Shi-Yoon,1,1,10.21,0.02962,20
Kim Min-Gyeong,1,1,5.07,0.24844,19
Park Se-Hee,1,1,4.12,0.01259,23
Kim Min-Ji,1,1,6.31,0.1509,23
Kim Min-Jung,1,1,3.9,0.26354,14
Chu Ye-Jin,1,1,4.1,0.06464,15
Jung Hae-Rim,1,1,4.4,0.00936,18
Gang Gyeong-Won,1,1,7.12,0.03065,19
Oh Seo-Jung,1,1,5.14,0.21913,21
Kim Tae-Ha,1,1,6.41,0.04523,18
Park Ha-Yi,1,1,3.45,0.07276,28
Park Ga-Eul,1,1,4.19,0.02752,17
Yu Su-A,1,1,3.06,0.02432,19
Lee Jin-Hee,1,1,4.13,0.03851,25
Ariyoshi Risa,1,1,4.12,0.08146,22
Hwang A-Young,1,1,2.82,0.00798,20
Lim Jung-Min,1,1,3.68,0.008,15
Kim Yeon-Kyung,1,1,3.85,0.04656,21
Lee Yoon-Seo,1,1,5.68,0.00904,14
Shim Chae-Eun,1,1,3.03,0.00476,17
Kang Si-Hyeon,1,1,2.91,0.00381,18
Kim Da-Jeong,1,1,2.8,0.0123,21
Ahn Yu-Mi,1,1,2.78,0.01764,19
"Kim Si-Hyeon	",1,1,2.77,0.02462,17
Seo Hye-Lin,1,1,2.73,0.00767,21
Hwang Ri-Yu,1,1,2.7,0.00755,18
Hwang Se-Young,1,1,2.7,0.00603,22
Kim Ji-Sung,1,1,2.66,0.00706,20
Kim Su-Hyun,1,1,2.61,0.98888,16
Choi Eun-Bin,1,1,2.57,0.00655,23
Park Min-Ji,1,1,2.48,0.45922,17
Ham Ye-Ji,1,1,2.45,0.02813,22
Kim Mi-So,1,1,2.41,0.01446,16
Kim Woo-Jeong,1,1,2.38,0.02367,24
Heo Saem,1,1,2.37,0.0077,23
Han Ji-Yeon,1,1,2.36,0.01081,21
Niwa Shiori,1,1,2.3,0.00842,22
Pyun Kang-Yoon,1,1,2.19,0.00939,24
Lee Su-Hyeon,1,1,2.18,0.05132,20
Kim Hong-Eun,1,1,2.16,0.00224,17
Kim Do-Hee,1,1,2.15,0.01692,19
Kim Seol-A,1,1,2.14,0.01203,25
Oh Han A-Reum,1,1,2.12,0.0047,18
Kim Yun-Ji,1,1,2.12,0.00754,20
Lee Seo-Jeong,1,1,2.1,0.00985,16
Kim Ja-Yeon,1,1,2.09,0.00429,25
Lee Chae-Lin,1,1,2.09,0.00736,17
Choi Yu-Bin,1,1,2.08,0.00361,17
Katherine C. Lee,1,1,2.08,0.00175,15
Shin Hye-Hyeon,1,1,2.08,0.00258,17
Nam Su-Jin,1,1,2.02,0.00263,21
Kim Sol-Ee,1,1,1.99,0.00235,15
Lee Se-Heun,1,1,1.87,0.01205,17
Bang Joon-Hee,1,1,1.86,0.00537,18
Yun Yu-Dam,1,1,1.82,0.00513,19
Kim Bo-Seon,1,1,1.8,0.00304,22
Moon Hyun-Ju,1,1,1.67,0.00827,18
Kang Daniel,2,1,81.72,1.84465,20
Park Ji-hoon,2,1,104.42,3.45576,17
Lee Dae-hwi,2,1,80.95,2.03782,16
Kim Jae-hwan,2,1,57,0.19964,20
Ong Seong-wu,2,1,81.92,1.44369,21
Park Woo-jin,2,1,40.37,0.19531,18
Lai Kuan-lin,2,1,71.73,0.55706,15
Yoon Ji-sung,2,1,84.48,0.95603,26
Hwang Min-hyun,2,1,68.03,0.34289,21
Bae Jin-young,2,1,66.73,0.45882,16
Ha Sung-woon,2,1,45.99,0.28141,23
Jung Se-woon,2,1,63.41,0.50029,20
Kang Dong-ho,2,1,47.21,0.44277,22
Kim Jong-hyun,2,1,75.21,0.27056,22
Im Young-min,2,1,31.3,0.06726,21
Ahn Hyung-seob,2,1,81.06,0.49701,18
Yoo Seon-ho,2,1,57.5,0.15253,15
Kim Samuel,2,1,86.39,2.27134,15
Ju Hak-nyeon,2,1,70.34,0.67144,18
Choi Min-ki ,2,1,47.62,0.13698,22
Kim Yong-guk,2,1,19.54,0.0621,21
Kwon Hyun-bin,2,1,40.87,2.15871,20
Lee Eui-woong,2,1,52.1,0.25316,16
Kenta Takada,2,1,28.73,0.06765,22
Noh Tae-hyun,2,1,35.3,0.2729,24
Kim Sang-gyun,2,1,15.23,0.09041,22
Jang Moon-bok,2,1,59.7,11.64611,22
Kim Dong-hyun,2,1,16.31,0.26426,19
Kim Dong-han,2,1,17.51,0.05967,19
Kim Tae-dong,2,1,35.98,0.12334,20
Seo Sung-hyuk,2,1,12.08,0.03737,18
Kim Ye-hyun,2,1,15.96,0.03304,18
Lee Gun-hee,2,1,26.98,0.42897,19
Lee Woo-jin,2,1,51.15,0.29375,14
Park Woo-dam,2,1,11.25,0.65807,22
Jung Dong-soo,2,1,18.02,0.04892,26
Park Sung-woo,2,1,45.29,0.39766,29
Hong Eun-ki,2,1,17.68,0.13744,20
Yoo Hoe-seung,2,1,10.91,0.07271,22
Woo Jin-young,2,1,15.34,0.04627,20
Joo Jin-woo,2,1,14.14,0.13789,23
Yeo Hwan-woong,2,1,12.66,0.04155,19
Justin,2,1,26.17,0.0398,15
Lee Gwang-hyun,2,1,14.53,0.02954,19
Byun Hyun-min,2,1,11.64,0.04313,18
Yoon Hee-seok,2,1,26.41,0.15857,20
Kim Sung-ri,2,1,13.35,0.03398,23
Kim Sang-bin,2,1,10.01,0.01656,22
Kim Tae-woo,2,1,16.77,0.10828,23
Lee Jun-woo,2,1,15.7,0.03871,19
Jung Jung,2,1,12.26,0.02914,21
Kim Nam-hyung,2,1,11.28,0.01774,24
Lee Ki-won,2,1,10.31,0.02416,21
Lee Yoo-jin,2,1,13.05,0.18365,25
Yoon Jae-chan,2,1,10.12,0.02929,17
Kim Yong-jin,2,1,11.44,0.08829,20
Lee In-soo,2,1,10.56,0.04819,21
Kim Dong-bin,2,1,23.7,0.17521,16
Sung Hyun-woo,2,1,10,0.04787,20
Joo Won-tak,2,1,8.85,0.03773,21
Choi Dong-ha,2,1,8.8,0.02073,21
Jung Joong-ji,2,1,8.69,0.36467,25
Kwon Hyub,2,1,8.67,0.02439,19
Im Woo-hyuk,2,1,8.67,0.01782,22
Jung Hyo-jun,2,1,8.52,0.02518,25
Son Dong-myung,2,1,8.45,0.04475,18
Lee Seo-kyu,2,1,8.01,0.03829,19
Kim Hyun-woo,2,1,7.93,0.06361,19
Choi Tae-woong,2,1,7.83,0.03773,23
Jo Jin-hyung,2,1,7.79,0.02869,21
Yoon Yong-bin,2,1,7.7,0.12628,21
Han Min-ho,2,1,7.7,0.01773,20
Yoo Jin-won,2,1,7.63,0.02715,20
Kim Yeon-guk,2,1,7.58,0.00453,22
Jung Shi-hyun,2,1,7.48,0.04178,26
Kim Chan-yul,2,1,7.33,0.00636,25
Choi Seung-hyuk,2,1,7.3,0.02715,17
Lee Hoo-lim,2,1,7.23,0.06057,25
Kim Jae-han,2,1,7.13,0.04317,22
Kim Chan,2,1,7,0.01172,23
Jang Dae-hyun,2,1,6.91,0.01611,20
Yoo Kyung-mok,2,1,6.83,0.03363,23
Choi Ha-don,2,1,6.8,0.06033,24
Park Hee-seok,2,1,6.8,0.04789,25
Yoo Ho-yeon,2,1,6.77,0.00728,19
Jo Gyu-min,2,1,6.74,0.03703,24
Wang Min-hyuk,2,1,6.65,0.01183,23
Choi Jun-young,2,1,6.64,0.02748,20
Jo Sung-wook,2,1,6.44,0.01254,21
Kim Do-hyun,2,1,6.42,0.03433,25
Jo Yong-geun,2,1,6.17,0.03375,22
Lee Gun-min,2,1,6.04,0.00713,21
Jung Won-cheol,2,1,5.78,0.00988,21
Choi Hee-soo,2,1,5.6,0.01129,20
Choi Jae-woo,2,1,5.27,0.00908,20
Lee Ji-han,2,1,5.11,0.00751,19
Jang Won-young,3,1,53.96,2.9228,13
Sakura Miyawaki,3,1,53.23,4.79838,20
Jo Yu-ri,3,1,28.92,0.58018,16
Choi Ye-na,3,1,39.05,0.17685,18
Ahn Yu-jin,3,1,60.78,1.41943,14
Nako Yabuki,3,1,44.97,5.07937,16
Kwon Eun-bi,3,1,50.76,0.76395,22
Kang Hye-won,3,1,22.27,0.10473,18
Hitomi Honda,3,1,33.37,0.1792,16
Kim Chae-won,3,1,17.94,0.03039,17
Kim Min-joo,3,1,30.73,0.09576,17
"Lee Chae-yeon	",3,1,36.82,0.41139,18
Han Cho-won,3,1,8.91,0.05467,15
Lee Ga-eun,3,1,63.35,2.56224,23
Miho Miyazaki,3,1,25.66,0.3029,24
Juri Takahashi,3,1,28.95,0.15803,20
Miyu Takeuchi,3,1,36.24,0.41394,22
Miu Shitao,3,1,16.09,0.14313,17
Park Hae-yoon,3,1,10.92,0.01703,21
Miru Shiroma,3,1,29.79,0.16322,20
Kim Na-young,3,1,13.94,0.25872,15
Sae Murase,3,1,12.09,0.13464,21
Kim Do-ah,3,1,16.67,0.03702,14
Moe Goto,3,1,46.11,1.06734,17
Jang Gyu-ri,3,1,29.69,0.91215,20
Huh Yun-jin,3,1,24.73,0.08538,16
Kim Si-hyeon,3,1,26.26,0.06325,18
Wang Yi-ren,3,1,40.49,0.23266,17
Na Go-eun,3,1,17.82,0.03436,18
Lee Si-an,3,1,23.58,0.16638,19
Ko Yu-jin,3,1,22.04,0.09506,17
Son Eun-chae,3,1,17.57,0.081,18
Erii Chiba,3,1,22.84,0.62315,14
Mako Kojima,3,1,17.7,0.08217,21
Yoon Hae-sol,3,1,7.35,0.01609,20
Bae Eun-yeong,3,1,14.91,0.05656,21
Chiyori Nakanishi,3,1,12.77,0.02931,23
Tomu Muto,3,1,17.5,0.07061,23
Minami Sato,3,1,6.45,0.03378,14
Saho Iwatate,3,1,18.93,0.11293,23
Noe Yamada,3,1,31.44,0.59825,18
Nanami Asai,3,1,9.65,0.08948,18
Kim So-hee,3,1,7.59,0.1674,14
Kim Min-seo,3,1,6.99,0.04584,15
Vivian Murakawa,3,1,17.8,0.13779,18
Kim Hyun-ah,3,1,6.7,0.03326,23
Kim Su-yun,3,1,6.64,0.00823,17
Lee Ha-eun,3,1,16.43,0.14295,13
Misaki Aramaki,3,1,6.67,0.01952,17
Kim Cho-yeon,3,1,11.57,0.16052,16
Lee Yu-jeong,3,1,7.63,0.02747,14
Aoi Motomura,3,1,10.36,0.02613,21
Park Min-ji,3,1,6.81,0.04154,19
Yu Min-young,3,1,7.57,0.01925,18
Park Seo-young,3,1,11.21,0.0623,19
Wang Ke,3,1,10.13,0.05333,17
Cho Ka-hyeon,3,1,8.91,0.02626,15
Ikumi Nakano,3,1,6.42,0.01166,17
Hwang So-yeon,3,1,6.35,0.02116,17
Shin Su-hyun,3,1,6.35,0.03343,22
Kang Da-min,3,1,6.07,0.02714,14
Shinobu Mogi,3,1,5.77,0.01855,21
Erina Oda,3,1,5.76,0.01182,21
Yoon Eun-bin,3,1,5.74,0.02914,14
Choi Yeon-soo,3,1,5.62,0.24769,18
Natsumi Matsuoka ,3,1,5.45,0.01222,21
Park Chan-ju,3,1,5.29,0.0342,18
Park Jinny,3,1,5.25,0.0893,20
Kim Da-yeon,3,1,4.85,0.00594,15
Rena Hasegawa,3,1,4.78,0.00881,17
Cho Ah-yeong,3,1,4.63,0.11496,17
Lee Seung-hyeon,3,1,4.58,0.06531,17
Yuuka Kato,3,1,4.36,0.00881,20
Kim Da-hye,3,1,4.24,0.01849,16
Mina Imada,3,1,4.02,0.0097,21
Serika Nagano,3,1,4.01,0.00746,17
Hong Ye-ji,3,1,3.95,0.00834,16
Lee Chae-jeong,3,1,3.87,0.02495,18
Park Ji-eun,3,1,3.78,0.03662,20
Manami Ichikawa,3,1,3.77,0.02348,18
Alex Christine,3,1,3.75,0.01704,21
Sae Kurihara,3,1,3.73,0.0099,21
Cho Yeong-in,3,1,3.67,0.00485,17
Yuka Asai,3,1,3.59,0.00516,14
Ahn Ye-won,3,1,3.58,0.03874,17
Kokoro Naiki,3,1,3.45,0.0032,21
Kim Yu-bin,3,1,3.41,0.01681,15
Cho Sa-rang,3,1,3.4,0.00789,16
Choi So-eun,3,1,3.14,0.00576,18
Ayana Shinozaki,3,1,3.05,0.01987,22
Won Seo-yeon,3,1,3.01,0.00894,18
